,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
214,"Hetero is selling 6 vials of Remdesivir at Rs 32,400 at Kukatpally",Supported,"The second question confirms that Hetero is selling these vials at Rs 32,400",2020-07-28,,,IN
215,John Mahama presided over low industrial growth during his four years in office. Nana Akufo-Addo has increased industrial growth.,Supported,"This claim is supported. According to the QA pairs, President John Mahama recorded industrial growth numbers of; 5.7% in 2013, 0.9% in 2014 and 2.3% in 2015. Whereas President Nana Akufo-Addo has recorded industrial growth numbers of; 6.1% in 2017, 4.8% in 2018 and 4.6% in 2019. These numbers show an increase in industrial growth. Therefore, this claim is supported.
",2020-07-28,Dr Mahamudu Bawunia,Facebook,GH
216,Reports as recent as 2017 reported 92% prevalence of blood lead poisoning in children from some villages in the Nigerian state of Zamfara.,Supported,Supported at 92.5% in QA Pair.,2020-07-28,Tosin Abdulsalam,Newspaper article,DE
217,Tom Hanks went on on national TV to say he had COVID 19,Refuted,The Q&A's state he made it public on social media not tv as claimed.,2020-07-28,Viral Facebook post,Facebook,AU
218,USA is largely out of Afghanistan.,Refuted,"Although American troop numbers dropped to 8,600 from about 12,000 and five bases were closed in Afghanistan. The numbers rose to around 14,000 at one point in Trump’s term.  There’s almost the same amount of U.S. troops in Afghanistan now as there were when Trump took office.",2020-07-28,,,
219,Four Ukrainian soldiers died after taking part in Covid-19 vaccine trials conducted by USA.,Refuted,The answer states that the claim is fake news and the source shows at the bottom of the Facebook post a link to the post about the fake news. The claim is refuted.,2020-07-27,Vaccine Injury Awareness Month Australia Facebook page,Facebook,AU
220,"Smartphone apps can measure blood pressure, heart rate and oxygen levels by asking you to press your index finger on the camera.",Refuted,"There is no medical evidence that this method is effective, and there is a high risk that  apps which claim to measure blood oxygen via fingerprints are designed only to gain access to secure data  protected by fingerprint data technology as an alternative to user passwords.",2020-07-26,Srinivasulu Reddy,Facebook,IN
221,"Samajwadi Party leader Azam Khan had said he  (water burial)would take jalsamadhi if he was not invited for the Bhumi Pujan of the Ram Temple in Ayodhya on August 5, 2020.",Refuted,The person mentioned in the claim was the wrong person according to the second answer so the claim is refuted.,2020-07-26,,"Swarajya, News Track Live",IN
222,"The United Nations delivered a formal stand down order to the Trump administration in July 2020, ordering the President to stop Federal officers from using non-lethal force against peaceful protesters in Portland.",Refuted,They are not authorised to make such a request.,2020-07-26,Max McGuire,Conservative-Daily.com,US
223,"Too much exposure to 5G, can literally fry the human central nervous system.",Refuted,There is no evidence that 5G is harmful to humans or fries the human central nervous system.,2020-07-26,STFN Reloaded,Facebook,US
224,"Nigeria recorded 1.25 million abortion cases in 2012 alone, but that this figure represented double the 1996 figures.",Supported,"It seems from the 2nd QA that the figure is consistent with the numbers in the claim, therefore the label is supported",2020-07-26,Lucky Palmer,The Street Journal,NG
225,Your face will become exposed to the virus if you wear your mask on your chin.,Supported,"This claim is supported. According to the QA pair, by wearing your mask correctly it helps prevent the spread of COVID-19. Wearing your mask on your chin is not wearing it correctly. Therefore, this claim is supported.",2020-07-26,,,
226,Florida is doing over five times better” than New Jersey and New York in COVID-19 deaths per million people,Refuted,"It seems that at the time of the claim Florida was doing worse that new jersey, therefore the claim label is refuted",2020-07-26,,,
227,UNICEF stated that Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask prevents its entry.,Refuted,The post was not made by UNICEF ,2020-07-26,Hla Oo,Facebook,IN
228,5G towers unleash severely damaging level of radiation to DNA,Refuted,Answers states no evidence and not known to cause DNA damage.,2020-07-26,STFN Reloaded,Facebook,US
229,Those most susceptible to the radiation from 5G technology are fetuses in utero and children.,Refuted,"Q&A 2 states that what is claimed 5G  exposure of foetuses and children is not well studied. However Q&A 3 states the 5g tech uses non-ionising type radiation which is shown to not be dangerous to dna, Also Q&A 4 shows that the WHO says it is safe for children",2020-07-26,STFN Reloaded,Facebook,US
230,"Due to their exterior anatomy, male testicles are especially susceptible to 5G radiation, which lowers sperm count. Just the same, cellular radiation kills off irreplaceable eggs in females.",Refuted,There is no scientific research to support this claim so it is refuted.,2020-07-26,STFN Reloaded,Facebook,US
231,US healthcare workers still don't have enough PPE during the COVID-19 pandemic,Supported,Since single use items are being reused this indicates a shortage.,2020-07-25,Joe Biden,Twitter,US
232,APC is luring Abubakar Shekau with Vice Presidential ticket  as an inducement to end Boko-Haram War.,Refuted,"It sees like the APC is not luring Abubakar Shekau with Vice Presidential ticket.  Especially, seeing as Abubakar Shekau is a globally wanted terrorist.  ",2020-07-25,@AustinNwabufo,Twitter,NG
233,"BLM injures 1000 police officers, kills36 people and does $8 billion in damage .",Refuted,Only about 19 people have been confirmed dead as a result of the protests and about 700 police officers nationwide ,2020-07-25,,Facebook,US
234,Ghanan government presented inconsistent data about the Free Senior High School programme in the 2020 Mid-year review budget.,Supported,"Answer shows data from the report mentioned in the claim which states 362,108 students  on page 45 and then 313,837 students on page 98 which confirms inconsistent data in the report the claim mentions.",2020-07-24,Samuel Okudzeto Ablakwa,Facebook,GH
235,Clint Eastwood endorsed Donald Trump.,Refuted,"From the answer it seems quite clear that Clint Eastwood might have supported Donald Trump before, but will now not continue doing so. Therefore the claim is refuted",2020-07-24,Fair Suck of the Sav Mate,Facebook,US
236,Wisconsin Democrats say lawmakers in neighbouring states have implemented more safety precautions against the spread of COVID-19 than state GOP.,Supported,Neighbouring states have imposed higher safety precautions.,2020-07-24,,,US
237,The Covid-19 infection rate among healthcare workers in Ireland is the highest in the world.,Not Enough Evidence,The answers do not give me the info to support or refute the case. I would need to see the percentage in Ireland.,2020-07-24," Irish Nurses and Midwives Organisation General Secretary, PhilNí Sheaghdha",Speech to Dáil’s Special Covid-19 committee,IE
238,"Jim Carrey said,  'Hollywood Elites Eat Whole Babies For Christmas' - 'The More They Suffer - The Better They Taste'",Refuted,"There is no apparent record of Jim Carrey saying this, the article on the website Newspunch was also removed by themselves as it was considered outdated and inaccurate.",2020-07-24,,,
239,US drug prices in 2019 went down for the first time in 51 years.,Refuted,"It's clear that drug prices have gone down several time in the last 51 years, with several peaks and falls. ",2020-07-24,President Donald Trump,FactCheck.org,US
240,PM Modi has not imposed President’s rule even a single time since 2014.,Refuted,Q&A 1 shows President's rule has been imposed several times after 2014.and since Q&A 3 shows Modi has been in power since 2014 then this fully refutes the claim that he has never used the rule.,2020-07-24,Govind Menon,Facebook,IN
241,Counties in Kenya allocated an average of 7.3% of budgets to agriculture in 2019/20.,Not Enough Evidence,No question and answer pair addresses the claim. Question 3 determines the amount allocated in terms of money but not in terms of percentage. ,2020-07-23,Wycliffe Oparanya,YouTube,KE
242,"County governments in Kenya have continued to adhere to the two-thirds gender principle. Three counties of Kilifi, Nyeri and Migori have gone higher and have a 50/50 representation of male and female CECs (county executive committee members).",Refuted,Some counties did indeed adhere to the two-thirds gender principle but some did not. ,2020-07-23,Wycliffe Oparanya,YouTube,KE
243,Target ended its “Heroes & Helpers” program that pairs children with police officers for holiday shopping trips,Refuted,there is no evidence that the program has been ended,2020-07-23,,,
244,"Kenya's sanitation coverage is now at 25%, up from 16%.",Not Enough Evidence,There is not enough evidence in the question and answer pairs to make a claim label. Therefore it is not enough evidence,2020-07-23,Wycliffe Oparanya,State of Devolution Address,KE
245,"Sanitation coverage in Kenya is now at 25%, from 16%.",Not Enough Evidence,"Additional QAs could be formulated.
What do UNICEF and other funding authorities report about sanitation facilities in Kenya around time of the claim? Is there media reportage on sanitation status in Kenya around the time of the claim. 
",2020-07-23,Wycliffe Oparanya,YouTube ,KE
246,"Federal High Court has restrained Godwin Obaseki, the incumbent Edo state governor, from participating in the Peoples’ Democratic Party’s gubernatorial primaries in the state.",Refuted,Linked evidence confirms a lawsuit was filed to prevent Godwin Obaseki from participating in primary elections but the lawsuit was dismissed by a Federal High Court.,2020-07-23,,,
247,In Kenya the allocation of budgets to agriculture in the 2019/20 financial year is an increase of 0.6% from what was reported last year.,Not Enough Evidence,"As no answer was found for the first question, its not possible to know if there was an increase of .6% so claim is not enough evidence. ",2020-07-23,Wycliffe Oparanya,YouTube,KE
248,Counties in Kenya have over the past year sustained an average allocation of 24% of their total budgets to the health sector,Supported,It seems from the 2nd QA that the amount spent on health sector was more than 24%if the total budget. Therefore the claim is supported ,2020-07-23,Wycliffe Oparanya, COUNCIL OF GOVERNORS - Kenya,KE
249,The allocation to agriculture is an increase of 0.6% from what was reported last year.,Not Enough Evidence,The answers do not tell me if there was an increase so there is not enough evidence for me to refute or support the claim.,2020-07-23,Wycliffe Oparanya,youtube,KE
250,Kenyan Counties allocated an average of 7.3% of budgets to agriculture.,Refuted,The 2nd answer and source show that they allocated 6.9% to agriculture so the claim is refuted.,2020-07-23,Wycliffe Oparanya, COUNCIL OF GOVERNORS - Kenya,KE
251,Counties in Kenya are striving to reach the 10% budget allocation to agriculture recommended by the Malabo declaration.,Refuted,The answer shows that 4.8% has been allocated so the claim is refuted.,2020-07-23,Wycliffe Oparanya,YouTube,KE
252,Study Concludes that Mask Wearers Have Lower IQ,Refuted,It seems the website isatire  therefore the label is refuted ,2020-07-23,,AmericasLastLineOfDefense.com,US
253,"In Kenya, Water coverage now stands at 63% from 57%.",Refuted,"The water coverage statistic for 2018/2019, the latest available at the time of the claim,  is 59% and not 63% as per claim.",2020-07-23,Wycliffe Oparanya,youtube,KE
254,Kenyan counties allocated an average of 7.3% of budgets to agriculture.,Refuted,"It seems from the 2nd QA that the number is lower, so the label is refuted ",2020-07-23,Wycliffe Oparanya,State of Devolution Address,KE
255,"Sanitation coverage is now at 25%, from 16%.",Not Enough Evidence,"There is not enough evidence. According to the QA pairs, the figure of 16% is justified but it is uncomparable as there is no statistics on current sanitation coverage. Therefore, there is not enough evidence.",2020-07-23,Wycliffe Oparanya,youtube,KE
256,"Kenya's county governments have continued to adhere to the two-thirds gender principle. Four counties, Mombasa, Kilifi, Nyeri, and Migori, have gone higher and have a 50/50 representation of male and female CECs.",Supported,Confirmed as 33.6% is just over 1/3,2020-07-23,Wycliffe Oparanya,State of Devolution Address,KE
257,Two-thirds of the debt in the Australian budget was borrowed before the start of the pandemic,Supported,True,2020-07-23,,,
258,The allocation to agriculture is an increase of 0.6% from what was reported last year in Kenya.,Refuted,This information is not correct.  The budgeted increase from 2019 to 2020 was 0.2%. A Q&A regarding the budget allocation in 2018 would confirm this inaccuracy in statement.,2020-07-23,Wycliffe Oparanya,State of Devolution Address,KE
259,Modi Govt Make 'Country Of Origin' Label Mandatory on Products For GeM Platform.,Supported,The Label was made Mandatory on Products For GeM Platform in a bid to promote Make in India. ,2020-07-23,@essveesumit,Twitter ,IN
260,Joe Biden owns island next to sex offender Jeffrey Epstein’s hideaway.,Refuted,No evidence shows that Joe Biden owns island next to Jeffrey Epstein’s hideaway (U.S. Virgin Islands).,2020-07-23,,Facebook,US
261,Counties allocated an average of 7.3% of budgets to agriculture in 2019/20,Refuted,"If the statistics published as per source answer disagree with the stats in the claim, albeit by a fairly small margin, ie 0.4%, the claim label has to be refuted.",2020-07-23,Wycliffe Oparanya,youtube,KE
262,[The allocation to agriculture] is an increase of 0.6% from what was reported last year.,Refuted,"- Q&A 2 shows 6.9% allocated to agriculture in 2020 (time of claim)
- Q&A 2 shows 6.7% allocated the year before which is 0.2% less than 2019  and not the +0.6% increase as claimed",2020-07-23,Wycliffe Oparanya, COUNCIL OF GOVERNORS - Kenya,KE
263,Little girl shown lying in a casket in a photo died from COVID-19.,Refuted,the picture was from 2014 meanwhile covid-19 started in 2019.,2020-07-23,Mark News,marknews2.blogspot.com,PH
264,"Water coverage now stands at 63%, up from 57% in Kenya.",Not Enough Evidence,there isn't enough data from the year of the claim to confirm if the water coverage has gone up to 63%,2020-07-23,Wycliffe Oparanya,State of Devolution Address,KE
265,Mandatory vaccinations is in direct violation of the Nuremberg Code.,Refuted,"Q&A 2 and 3 show that vaccination is not even mentioned in the Nuremberg  code so makes the main point in the claim Null, as mandatory vaccination cannot be a violation of the code if there in no mention of vaccination at all.",2020-07-23,Pam Vernon,EnvirowatchRangitikei,
266,Kenyan counties have over the past year sustained an average allocation of 24% of their total budgets to the health sector.,Supported,The question-answer pair proves that the claim is true,2020-07-23,Wycliffe Oparanya,State of Devolution Address,KE
267,Water coverage in Kenya now stands at 63% from 57%.,Not Enough Evidence,"There is no data from the current period, so there is no way to confirm this claim.",2020-07-23,Wycliffe Oparanya,YouTube,KE
268,Man dies at the R N Cooper Hospital in Mumbai due to medical negligence.,Refuted,"there is no evidence that the man in question died due to medical negligence, or hospital error. ",2020-07-23,,,
269,There Is An Upcoming Shortage Of Dr. Pepper Because Of The Coronavirus,Refuted,Searching on Bloomberg.com does not produce any report of the sort ,2020-07-22,,facebook,US
270,New Zealand has authorised troops to enter homes to enforce COVID-19 quarantine.,Refuted,"In New Zealand constables not troops, are authorised to enter homes to enforce COVID-19 quarantine.",2020-07-22,Adrian Nicholls,Facebook,US
271,"US Home Health workers receive low pay, Limited benefits and 40% of them are on SNAP or Medicaid.",Supported,"While the number of direct care workers, appears to be higher than 40%, it is a supported statement. ",2020-07-21,Joe Biden,2020 Elections,US
272,"Indiana woman charged for mail in voter fraud, delivered 400 ballots with Democrat box prechecked",Supported,Answer & source are about the felony charge.,2020-07-21,,,
273,USA is setting record job numbers.,Conflicting Evidence/Cherrypicking,The answer and source show that they did break a record in 2020 but then the job numbers dropped a lot and so the claim is cherry picking.,2020-07-21,Donald Trump,White House,US
274,Mel Gibson accused Hollywood of child sacrifices and paedophillia.,Refuted,No evidence he made this accusation. ,2020-07-21,Willie Viljoen,Facebook,ZA
275,A study finds a diet heavy with kimchi—spiced fermented cabbage and other vegetables—helps lower South Korea's COVID-19 fatalities.,Conflicting Evidence/Cherrypicking,The research was not based around South Korea and cannot be extrapolated.,2020-07-21,,,
276,"Greenhouse gases emitted into the ocean are causing more holes in the ozone layer; the ozone layer has holes in it, causing global temperatures to rise.",Refuted,"Greenhouse gas doesn't cause holes in the ozone layer, and holes in the ozone doesn't contribute much to rising global temperatures",2020-07-21,,,
277,"A rare yellow turtle was spotted in Balasore, Odisha.",Supported,There are clear photos in the report showing the turtle so the claim is supported.,2020-07-20,Susanta Nanda IFS,Twitter,IN
278,"US space agency NASA has added a 13th star sign named ""Ophiuchus"" to the zodiac.",Refuted,NASA clearly denied in their twitter status adding a 13th star sign.,2020-07-20,grabaseat,Facebook,US
279,"Medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause “severe health issues”.",Refuted,The three agencies mentioned all have publicly supported the use of masks ,2020-07-20,,Facebook,
280,"Former President of the United States, Theodore Roosevelt once said ""To anger a conservative, lie to him. To anger a liberal, tell him the truth.""",Refuted,attributed to Rush Limbaugh.,2020-07-20,Michael Berry,Facebook,US
281,"As of July 2020 Covid-19 vaccines are not safe, because of the accelerated pace of their development",Refuted,QA pair states they undergo rigorous safety checks before they can be recommended for wide spread use.,2020-07-20,,Facebook,
282,The WHO has said that cats and dogs cannot contract Covid-19.,Refuted,"the WHO has not confirmed this at the time of the claim, as many animals did test positive for COVID",2020-07-19,,facebook,CN
283,United States space agency NASA has added a 13th Zodiac sign named “Ophiuchus” to the list of existing 12 Zodiac signs.,Refuted,Nasa deals in astronomy not astrology so not their fielf,2020-07-18,2DayFM username,Facebook,
284,Netflix will end its Turkish service after the production of an upcoming local drama that was blocked by the country’s government over a gay character.,Refuted,Netflix stopped product of one series but has not withdrawn from Turkey.,2020-07-18,Social Media Users,Twitter,TR
285,COVID-19 vaccine is DNA-altering and has been fast-tracked through safety qualifications.,Refuted,there is no evidence of vaccines altering dna ,2020-07-17,,YouTube,NG
286,"In Madipur area of Delhi,three jihadists killed a minor boy in the middle of a road with a knife for a petty matter.",Refuted,"The boys were Hindus, therefore not [Muslim] jihadists.",2020-07-17,Ashish Jaggi,Twitter,IN
287,Joe Biden wants to end school choice,Refuted,"Biden did not categorically say he wants to end school choice, he only complained about  charters schools siphoning  off money for public schools. ",2020-07-17,Donald Trump,youtube,US
288,President Trump tweeted  'Child Lifes Matter' Should Be Painted On Hollywood Streets,Refuted,"Where did this quote appear?
This question is written vaguely, proper question is not formed. 
It should have been -
Is the claim about child's life written by Trump's ?
Answer: It seems that the twitter account where this claim was made is fake.


Thats how questions and answers are formed. ",2020-07-17,Josephis DeLaney,Facebook,US
289,"Cal Cunningham, North Carolina’s 2020 Democratic Senate candidate, voted to raise taxes in the state by over $1 billion in 2001.",Supported,"Confirmed in Q+A pairs

""the two-year budget passed by Democratic state lawmakers and one House Republican in 2001 included a 1/2-cent statewide sales tax increase, for two years, that did not apply to food.
The overall tax increases amounted to $1 billion over two years""",2020-07-17,National Republican Senatorial Committee,,US
290,"Donald Trump tweeted, “WHO Thinks ‘Child Lifes Matter’ Should Be PAINTED In The STREETS OF HOLLYWOOD???",Refuted,"Seems that Donald trump did not tweet this, therefore the claim is refuted ",2020-07-17,,Facebook,US
291,CORONAVIRUS IS A LAB-ENGINEERED BIOWEAPON,Refuted,"Credible sources of evidence provided to support theory that coronavirus occurred naturally, and to specifically push back against claims it originated in a lab. No evidence provided to support theory it originated in a lab.",2020-07-17,Ephesians 5:11 - Exposing The Satanic New World Order,Facebook,AU
292,"Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases wrote: I reject the notion that it’s 'just a virus’ and we’ll all get it eventually. What a careless, lazy, heartless stance.",Refuted,"This claim is refuted. The quote in the claim is said to come from facebook user Amy Wright, not Anthony Fauci. Therefore, this claim is refuted. ",2020-07-17,,Facebook,US
293,"The Governor of Osun State, Gboyega Oyetola, was in Abuja for three days and was not able to see Governor Mai Mala Buni, who is the Chairman of the All Progressives Congress (APC) National Caretaker Committee.",Refuted,Governor Gboyega Oyetola did not spend three days in Abuja and he met with the Chairman of the All Progressives Congress (APC) National Caretaker Committee.,2020-07-17,,facebook,NG
294,Washing glasses with soap will prevent lenses from fogging whilst wearing a mask.,Supported,Accurate,2020-07-17,Kerri Jenner,Facebook ,GB
295,"Hackers in China hide phishing codes inside WhatsApp good morning and good night images or videos, to steal personal information, such as bank card information and other data.",Refuted,"No incidents of this could be found and if this was happening, there would be reports. ",2020-07-17,Viral Message,WhatsApp,IN
296,Shanghai China International News asked all subscribers not to send good morning and good night images or videos on WhatsApp,Refuted,There seems to be no evidence of this claim being true. ,2020-07-17,Viral Message,WhatsApp,IN
297,"A covid patient died outside a medical shop in Siwan India, which is the constituency of Bihar's Health Minister.",Refuted,The answers show that the man was not a covid patient and Siwan is not Bihars constituency so the claim is refuted.,2020-07-17,Farhan shah,Twitter,IN
298,"A black kid named Tyrone Woodfork was arrested yesterday for severely beating an elderly Tulsa, Oklahoma, white couple, raping and killing the wife and leaving the husband for dead and the national media is ignoring the crime",Refuted,"Evidence finds that the national media did cover this crime, i.e., the Daily Mail (seen through the Q3 source). This crime also happened back in 2012, while the claim was made in 2020. Hence, the claim is refuted.",2020-07-17,Bruce E. Rivers,Facebook,US
299,The Bank of America pledged $1 billion dollars to Black Lives Matter.,Refuted,The bank is not specifically donating to the Black Lives Matter charity so the claim is refuted.,2020-07-17,Tina Welsh,facebook,US
300,"if the Trump administration “had done its job, the virus wouldn’t come” to New York",Refuted,It seems that there is no mention of the Trump Administration being the cause of New York having Covid-19 cases. It also looks like 51% of Americans say the president is going an excellent/good job - whilst only 48% think he is doing a fair/poor job.,2020-07-16,Gov. Andrew Cuomo,CNN ,US
301,A motorcycle fatality in Orlando Florida was counted as a COVID death.,Refuted,"It seems that while the fault was made initially form the question and asnwer pairs, it was removed afterwards. Therefore the claim is refuted",2020-07-16,Danielle Lama,Fox35 Orlando,US
302,Matt Hancock claimed that the UK covid-19 lockdown began on 16th March 2020.,Supported,From the QAit indeed seems that Mwtt Hancock said that. Therefore the claim  is supported ,2020-07-16,Matt Hancock,Hansard government website,GB
303,"All workers at Gardenia, a bread-manufacturing factory in the Philippines, had tested positive for COVID-19.",Refuted,Only 2 people tested positive for COVID-19,2020-07-16,,Facebook,PH
304,"Nigeria, Ghana, Cote d’Ivoire, Senegal and Guinea are responsible for over 80 per cent of COVID-19 cases in West Africa.",Supported,The amount of people with covid in these areas all add up to be above 80% so the claim is correct. ,2020-07-16,PROF Stanley Okolo,Second Extra-Ordinary Session,
305,Azerbaijan has threatened to bomb the nuclear power plant in Armenia.,Supported,"The ongoing tensions between the two countries has led to the deaths of many people in recent years, showing no signs of resolution",2020-07-16,Kim Kardashian west,Twitter,US
306,"John Hickenlooper, the former Governor of Colorado accepted donations from Anadarko Petroleum Corp, a oil and gas company involved in a 2017 fatal explosion, in exchange for the company not being penalized.",Refuted,"the company was fined for violating four rules, there is no evidence that any donations accepted by John Hickenlooper was an exchange for not penalising the company. ",2020-07-16,National Republican Senatorial Committee,YouTube,US
307,US Businesses that refuse any legal tender can be fined and sued.,Supported,The bill prevents businesses from refusing cash ,2020-07-15,Christine Tina,Facebook,US
308,Free federal housing for former inmates.,Refuted,"The claim is vague but I think it may be common knowledge that ""federal"" implies this relates to the USA.
The claim doesn't mention the ""unity platform""",2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
309,Betting on online slot machines has increased by 25% during lockdown.,Refuted,Slot machine USERS increased by 25% but not in usage. ,2020-07-14,HuffPosr,HuggPost,GB
310,United States citizens don't get the level of benefits that Bidens policy would be looking to give illegal immigrants,Refuted,The program is for both US citizens and eligible non-citizens ,2020-07-14,Donald Trump,Whitehouse Speech,US
311,"The Democrats want to abolish US police departments. They want to abolish our prisons, I guess.",Refuted,The word Abolish has not been used in relevance to police departments or prisons.,2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
312,Biden wants to end mandatory minimums in criminal sentences.,Supported,Confirmed by unity document.,2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
313,Vaccines were responsible for 50 million deaths during the Spanish flu pandemic in 1918.,Refuted,From the 1st QA there seems to have been no vaccine. Therefore the claim is refuted ,2020-07-14,,Social Media,GB
314,"Biden plans to ""mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.",Refuted,"From the 2nd QA it seems that the houses are not windowless. Therefore, the claim is refuted",2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
315,"One of the key elements of the Biden-Sanders Unity Task Force Recommendations (Biden, the presumptive Democratic presidential nominee, and Sanders, the leading voice for the most progressive Democrats Biden-Sanders (Biden, the presumptive US Democratic presidential nominee, and Sanders, the leading voice for the most progressive US Democrats) is that all charter schools will be abolished.",Refuted,The answer shows that the claim is refuted because charter schools will not be abolished.,2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
316,Biden plans to stop all deportation.,Refuted,"Joe Biden's plan does not permanently stop deportations; instead, it calls for a 100-day moratorium on deportations of people already in the country (not people arriving at the border). The task force recommended that during the pause there be a full-scale review of U.S. deportation practices. Hence, the claim is refuted.",2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
317,The US Biden-Sanders unity task force seeks to abolish immigration detention in the US.,Refuted,"The only Q&A pair states that the Biden admin only want to end 'for profit' centres and improve the detention centres overall, not abolish detention centres as is claimed.",2020-07-14,President Donald Trump,News conference at the White House,US
318,The Democrats want to rejoin the Paris Climate Accord and seek an even higher level of restrictions on climate change.,Supported,"It seems from the QA that some individuals indeed do want to rejoin the Paris Climate Accord. Therefore, the label is supported",2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
319,Border-wall construction under the Trump administration has replaced already existing barriers.,Supported,"Only 3 miles were newly built under Trump, the rest were replacements for already existing walls ",2020-07-14,Donald Trump,White House remarks,US
320,The Biden-Sanders unity platform includes a plan to appoint social justice prosecutors in order to free violent criminals.,Refuted,Aim is to reduce incarceration time without compromising public safety,2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
321,"Abolish immigration detention. No more detention. You come in here illegally, no more detention.",Refuted,Taken out of context and missing that it only includes profit based detention centres.,2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
322,"Donald Trump claimed that Biden's mandate for net zero carbon emissions for home, offices and new buildings would mean no windows.",Refuted,"This claim is refuted. According to the QA pairs, there is quite literally nothing in Biden's mandate that means ""no windows"" to combat carbon emissions. The mandate explains that emissions need to be reduced by 50% to pre-2005 levels. There was not a single mention of ""no windows"" anywhere as the claim states. Therefore, this claim is refuted.",2020-07-14,Donald Trump,Speech at Washington,US
323,"Under Biden’s policy, immigrants in the country illegally ""get welfare benefits. United States citizens don't get what they're looking to give illegal immigrants.",Refuted,"they do not get welfare benefits but it was suggested they could buy healthcare, which isn't the same as welfare. ",2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
324,People Not Wearing Masks Can Be Reported to (281) 330-8004,Not Enough Evidence,The source of the answer can be loaded. No evidence can be found to support or refute the claim.,2020-07-14,Zachary M.Bina,,
325,What they're going to do is they're going to rip down the wall. They're taking it down.,Refuted,The 5th Q and A pair show that there is no plan to take down the wall. Some democrats do not want it but there is no plan to take it down.,2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
326,Migrant arrests and expulsions in the US along the southern border are down.,Supported,True,2020-07-14,Donald Trump,White House remarks,US
327,"The Biden-Sanders agenda proposes to end cash bail, releasing dangerous criminals onto US streets.",Conflicting Evidence/Cherrypicking,"The proposal is to end cash bail, unless the person is deemed dangerous or likely to skip court.",2020-07-14,Donald Trump,News conference in the Rose Garden of the White House,US
328,Bonnie Henry issued advice about living with the threat of Covid-19.,Supported,From question 2 the answer and source explains that the Dr made a statement about the easing of restrictions and therefore this does match the claim made.,2020-07-13,BJ Pumfrey,Facebook,US
329,The United States has one of the lowest Covid-19 mortality rates,Refuted,US is the 5th highest in the world.,2020-07-13,Donald Trump,whitehouse,US
330,Former Indian Deputy Chief Minister and rebel Congress leader Sachin Pilot has joined the Bharatiya Janata Party.,Refuted,Evidence includes a denial quote. ,2020-07-13,Subodh Panigrahi,Facebook,IN
331,Philippine Depositary Receipts are equal to actual ownership in the Philippines.,Refuted,They don't serve as evidence of ownership in the Philippines ,2020-07-13,Mike Defensor,ANC,PH
332,Clinical trials have been completed for potential Russian COVID-19 vaccine.,Refuted,The vaccine was only at the first phase of the trial when the claim was made ,2020-07-13,,Twitter,RU
333,"The Obama administration stopped testing during the H1N1, Swine Flu, pandemic.",Refuted,"It seems from the last QA that the testing did not stop, it was the reporting that became less frequent, therefore the label is refuted",2020-07-13,Donald Trump,whitehouse,US
334,South Africa has “expertise in the development and trial of a range of vaccines”,Supported,"There are institutions in South Africa with adequate facilities that deals in vaccine value chain, from development to manufacturing and distribution. ",2020-07-12,Cyril Ramaphosa,,ZA
335,Russia's Sechenov University has completed clinical trails of COVID-19 vaccine.,Supported,The Q/A finds that the Sechenov University has completed the first phase of clinical trials of COVID-19 vaccine so it would appear that the claim is supported.,2020-07-12,Russia in India (@RusEmbIndia),Twitter,RU
336,South Africa has expertise in the development and trial of a range of vaccines.,Supported,They have a number of clinical trials that are up and running ,2020-07-12,,Cyril Ramaphosa,ZA
337,"Sarah Sachin Pilot attacks Gehlot in a tweet saying that even ""big magicians"" will start sweating when they turn to Delhi.",Refuted,She did not tweet such a claim.,2020-07-12,@sarahsachin,twitter,IN
338,An Indian student finds a Home remedy cure for Covid-19 and it is accepted by WHO (World Health organization),Refuted,There is no cure according to WHO so no home remedy has been approved.,2020-07-12,"Aaina ""The Mirror Of Democracy """,Facebook,IN
339,South Africans have the right to resist isolation or quarantine if found to hsve the virus,Refuted,"It seems from the 4th QA that the people s5ill have to quarantine,  therefore the claim is refuted ",2020-07-12,,,
340,South Africa “has an established vaccine manufacturing capability”,Conflicting Evidence/Cherrypicking,"it's clear that South does develop vaccines, and has the capacity to do some testing, but isn't able to do so start to finish due to cost, so this is conflicting evidence. ",2020-07-12,Cyril Ramaphosa,,ZA
